"checking_time";"current_world_population";"births_this_year";"births_today";"deaths_this_year";"deaths_today";"net_population_growth_this_year";"net_population_growth_today";"public_healthcare_expenditure_today";"public_education_expenditure_today";"public_military_expenditure_today";"cars_produced_this_year";"bicycles_produced_this_year";"computers_produced_this_year";"new_book_titles_published_this_year";"newspapers_circulated_today";"tv_sets_sold_worldwide_today";"cellular_phones_sold_today";"money_spent_on_videogames_today";"internet_users_in_the_world_today";"emails_sent_today";"blog_posts_written_today";"tweets_sent_today";"google_searches_today";"forest_loss_this_year";"land_lost_to_soil_erosion_this_year";"co2_emissions_this_year";"desertification_this_year";"toxic_chemicals_released_in_the_environment_this_year";"undernourished_people_in_the_world";"overweight_people_in_the_world";"obese_people_in_the_world";"people_who_died_of_hunger_today";"money_spent_for_obesity_related_diseases_in_the_usa_today";"money_spent_on_weight_loss_programs_in_the_usa_today";"water_used_this_year";"deaths_caused_by_water_related_diseases_this_year";"people_with_no_access_to_a_safe_drinking_water_source";"energy_used_today";"non-renewable_sources";"renewable_sources";"solar_energy_striking_earth_today";"oil_pumped_today";"oil_left";"days_to_the_end_of_oil";"natural_gas_left";"days_to_the_end_of_natural_gas";"coal_left";"days_to_the_end_of_coal";"communicable_disease_deaths_this_year";"seasonal_flu_deaths_this_year";"deaths_of_children_under_5_this_year";"abortions_this_year";"deaths_of_mothers_during_birth_this_year";"hiv_or_aids_infected_people";"deaths_caused_by_hiv_or_aids_this_year";"deaths_caused_by_cancer_this_year";"deaths_caused_by_malaria_this_year";"cigarettes_smoked_today";"deaths_caused_by_smoking_this_year";"deaths_caused_by_alcohol_this_year";"suicides_this_year";"money_spent_on_illegal_drugs_this_year";"road_traffic_accident_fatalities_this_year"
"23/05/2022_03:00";"7948839702";"54531301";"48056";"22893546";"20175";"31637754";"27881";"2006993272";"1353593554";"591970515";"32212714";"60042680";"93865302";"1068446";"58587437";"84088";"882131";"38626334";"5312382771";"35416339340";"1077845";"108354270";"1108281767";"2024315";"2725276";"14167729048";"4671025";"3811704";"860887092";"1727563125";"809538488";"3836";"77825815";"23713830";"1749985294";"327770";"782076128";"58548926";"49840152";"8816958";"366870483185";"12008372";"1438060142833";"14997";"1081906915805";"56942";"4295203289593";"148110";"5052809";"193570";"2958520";"16628285";"120305";"43651407";"654312";"3196675";"153487";"1898772408";"1945749";"973488";"417385";"155709016789";"525414"
"23/05/2022_04:00";"7948848987";"54547305";"64060";"22900265";"26894";"31647039";"37166";"2675377716";"1804376277";"789110652";"32222262";"60060383";"93892643";"1068761";"78098318";"112092";"1175907";"51489964";"5312428626";"47211003725";"1436811";"144439632";"1477382847";"2024910";"2726076";"14171892527";"4672396";"3812822";"860888113";"1727565065";"809541476";"5114";"103744033";"31611080";"1750502041";"327866";"782075064";"78047064";"66438068";"11753207";"489046779521";"16007435";"1438056143703";"14997";"1081906123184";"56942";"4295202079045";"148110";"5054292";"193627";"2959389";"16633170";"120340";"43651512";"654504";"3197613";"153532";"2531107227";"1946320";"973774";"417507";"155754714197";"525568"
"23/05/2022_05:00";"7948858265";"54563297";"80052";"22906979";"33608";"31656317";"46444";"3343255096";"2254816277";"986099997";"32231803";"60078073";"93919964";"1069076";"97594218";"140074";"1469460";"64343830";"5312474445";"58996740554";"1795512";"180497808";"1846210153";"2025503";"2726875";"14176052821";"4673766";"3813940";"860889133";"1727567004";"809544462";"6390";"129642618";"39502282";"1751018394";"327962";"782074001";"97530269";"83023272";"14687208";"611129513033";"20003437";"1438052147784";"14997";"1081905331200";"56942";"4295200869470";"148110";"5055774";"193684";"2960256";"16638051";"120376";"43651617";"654696";"3198551";"153577";"3162957803";"1946891";"974059";"417630";"155800376610";"525722"
"23/05/2022_07:00";"7948876833";"54595301";"112056";"22920415";"47044";"31674885";"65012";"4679909538";"3156300828";"1380340347";"32250897";"60113476";"93974642";"1069706";"136611740";"196075";"2056964";"90068860";"5312566148";"82584151545";"2513415";"252663309";"2584380335";"2026691";"2728475";"14184378933";"4676507";"3816177";"860891175";"1727570884";"809550439";"8945";"181474768";"55295146";"1752051791";"328154";"782071872";"136522506";"116215666";"20559099";"855456807458";"28000736";"1438044150336";"14997";"1081903746121";"56942";"4295198448621";"148110";"5058739";"193798";"2961993";"16647819";"120446";"43651827";"655080";"3200427";"153667";"4427496506";"1948033";"974631";"417874";"155891761963";"526030"
"23/05/2022_08:00";"7948886096";"54611266";"128021";"22927117";"53746";"31684148";"74275";"5346699441";"3606005176";"1577005252";"32260423";"60131136";"94001917";"1070021";"156075356";"224011";"2350041";"102901780";"5312611892";"94350759063";"2871552";"288663346";"2952625780";"2027284";"2729272";"14188532374";"4677875";"3817293";"860892193";"1727572819";"809553420";"10220";"207331275";"63173330";"1752567298";"328250";"782070811";"155973569";"132773510";"23488259";"977338138427";"31990145";"1438040161060";"14997";"1081902955453";"56942";"4295197241056";"148110";"5060219";"193855";"2962859";"16652692";"120481";"43651932";"655271";"3201363";"153712";"5058304704";"1948602";"974916";"417997";"155937349046";"526184"
"23/05/2022_09:00";"7948895372";"54627256";"144011";"22933830";"60459";"31693425";"83552";"6014507094";"4056395186";"1773969105";"32269963";"60148823";"94029234";"1070336";"175568501";"251989";"2643567";"115754282";"5312657707";"106135346762";"3230241";"324718523";"3321439524";"2027877";"2730072";"14192692127";"4679244";"3818411";"860893213";"1727574757";"809556406";"11496";"233227279";"71063483";"1753083590";"328346";"782069747";"175454182";"149356508";"26421870";"1099404628157";"35985614";"1438036165662";"14997";"1081902163573";"56942";"4295196031638";"148110";"5061700";"193912";"2963726";"16657572";"120517";"43652036";"655463";"3202300";"153757";"5690071209";"1949173";"975201";"418119";"155983005383";"526338"
"23/05/2022_11:00";"7948913932";"54659245";"176000";"22947260";"73889";"31711984";"102111";"7350567183";"4957472957";"2168024297";"32289049";"60184210";"94083885";"1070965";"214567234";"307964";"3230815";"141467831";"5312749369";"129712432114";"3947879";"396853464";"4059331375";"2029065";"2731670";"14201014324";"4681984";"3820647";"860895254";"1727578635";"809562380";"14050";"285036627";"86848873";"1754116512";"328539";"782067620";"214427964";"182533191";"32290981";"1343616283136";"43979128";"1438028172034";"14997";"1081900579250";"56942";"4295193611945";"148110";"5064664";"194026";"2965462";"16667335";"120587";"43652246";"655847";"3204175";"153847";"6954011410";"1950314";"975772";"418364";"156074347484";"526646"
"23/05/2022_12:00";"7948923216";"54675247";"192002";"22953978";"80607";"31721268";"111395";"8018944487";"5408244932";"2365152464";"32298597";"60201912";"94111224";"1071280";"234076466";"335966";"3524592";"154331280";"5312795226";"141507133327";"4306895";"432939970";"4428478456";"2029659";"2732470";"14205177546";"4683355";"3821765";"860896275";"1727580575";"809565368";"15327";"310954812";"94745585";"1754633239";"328635";"782066556";"233924776";"199129978";"35227031";"1465784271066";"47977920";"1438024173086";"14997";"1081899786666";"56942";"4295192401453";"148110";"5066147";"194083";"2966330";"16672220";"120623";"43652351";"656039";"3205113";"153892";"7586303227";"1950885";"976058";"418486";"156120041784";"526801"
"23/05/2022_13:00";"7948932480";"54691216";"207971";"22960682";"87311";"31730533";"120660";"8685912639";"5858065796";"2561863792";"32308125";"60219577";"94138505";"1071595";"253544388";"363908";"3817751";"167167603";"5312840981";"153276987844";"4665161";"468950585";"4796853484";"2030252";"2733268";"14209331964";"4684723";"3822882";"860897294";"1727582511";"809568350";"16602";"336818385";"102625593";"1755148874";"328731";"782065494";"253380342";"215691655";"38156870";"1587693816704";"51968252";"1438020183010";"14997";"1081898995840";"56942";"4295191193646";"148110";"5067627";"194140";"2967196";"16677094";"120658";"43652456";"656230";"3206050";"153937";"8217257453";"1951455";"976343";"418609";"156165639420";"526954"
"23/05/2022_14:00";"7948941765";"54707218";"223973";"22967400";"94029";"31739817";"129944";"9354265193";"6308819597";"2758982194";"32317672";"60237278";"94165842";"1071910";"273052538";"391908";"4111520";"180030566";"5312886835";"165071292992";"5024177";"505036137";"5165999375";"2030846";"2734068";"14213494979";"4686094";"3824000";"860898315";"1727584451";"809571338";"17879";"362735672";"110521900";"1755665578";"328827";"782064430";"272876152";"232287589";"41092769";"1709855530940";"55966838";"1438016184356";"14997";"1081898203314";"56942";"4295189983243";"148110";"5069109";"194197";"2968065";"16681978";"120693";"43652561";"656422";"3206988";"153982";"8849516801";"1952026";"976629";"418731";"156211331373";"527109"
"23/05/2022_15:00";"7948951040";"54723204";"239959";"22974111";"100740";"31749092";"139219";"10021938842";"6759114785";"2955899134";"32327210";"60254962";"94193152";"1072225";"292540692";"419880";"4404990";"192880456";"5312932641";"176853637927";"5382834";"541085225";"5534776529";"2031439";"2734867";"14217653738";"4687463";"3825118";"860899334";"1727586389";"809574323";"19155";"388626664";"118410130";"1756181756";"328923";"782063367";"292352019";"248866547";"44025664";"1831892279968";"59961334";"1438012189891";"14996";"1081897411618";"56942";"4295188774108";"148110";"5070591";"194254";"2968932";"16686857";"120728";"43652665";"656614";"3207925";"154027";"9481129379";"1952596";"976914";"418853";"156256976586";"527263"
"23/05/2022_16:00";"7948960309";"54739182";"255937";"22980820";"107449";"31758361";"148488";"10689314662";"7209208371";"3152727004";"32336744";"60272637";"94220449";"1072539";"312019974";"447839";"4698330";"205724610";"5312978427";"188630747433";"5741339";"577118424";"5903395412";"2032032";"2735665";"14221810616";"4688832";"3826234";"860900354";"1727588326";"809577307";"20431";"414506136";"126294785";"1756697701";"329019";"782062305";"311819058";"265437990";"46957231";"1953873718751";"63954020";"1438008197187";"14996";"1081896620271";"56942";"4295187565505";"148110";"5072071";"194311";"2969799";"16691733";"120764";"43652770";"656806";"3208861";"154072";"10112455694";"1953166";"977199";"418976";"156302601112";"527417"
"23/05/2022_17:00";"7948969595";"54755186";"271941";"22987538";"114167";"31767647";"157774";"11357755610";"7660019562";"3349867779";"32346293";"60290341";"94247789";"1072854";"331530164";"475843";"4992139";"218589257";"5313024289";"200426673483";"6100422";"613209323";"6272608852";"2032626";"2736465";"14225974101";"4690202";"3827353";"860901375";"1727590266";"809580295";"21708";"440426943";"134191967";"1757214468";"329115";"782061240";"331317028";"282035763";"49893455";"2076048963820";"67953049";"1438004197953";"14996";"1081895827630";"56942";"4295186354926";"148110";"5073554";"194368";"2970667";"16696618";"120799";"43652874";"656998";"3209799";"154117";"10744785072";"1953737";"977485";"419098";"156348298127";"527571"
"23/05/2022_18:00";"7948978890";"54771207";"287962";"22994264";"120893";"31776942";"167069";"12026941467";"8111332392";"3547227010";"32355852";"60308064";"94275159";"1073170";"351061916";"503877";"5286276";"231468235";"5313070198";"212235765295";"6459913";"649340633";"6642240002";"2033221";"2737266";"14230142200";"4691575";"3828473";"860902397";"1727592208";"809583287";"22987";"466376667";"142097893";"1757731808";"329212";"782060175";"350836586";"298651912";"52832930";"2198359483302";"71956506";"1438000194623";"14996";"1081895034177";"56942";"4295185143107";"148110";"5075039";"194425";"2971536";"16701508";"120834";"43652980";"657190";"3210739";"154162";"11377814575";"1954309";"977771";"419221";"156394045738";"527725"
"23/05/2022_19:00";"7948988158";"54787182";"303937";"23000971";"127600";"31786210";"176337";"12694176714";"8561328950";"3744009728";"32365384";"60325736";"94302449";"1073484";"370536555";"531830";"5579556";"244309666";"5313115974";"224010455105";"6818362";"685366814";"7010799948";"2033814";"2738064";"14234298122";"4692943";"3829590";"860903416";"1727594145";"809586270";"24262";"492250781";"149980717";"1758247639";"329308";"782059113";"370299106";"315219509";"55763816";"2320312605681";"75948265";"1437996202941";"14996";"1081894243033";"56942";"4295183934814";"148110";"5076519";"194482";"2972403";"16706384";"120869";"43653084";"657382";"3211675";"154207";"12008994336";"1954879";"978056";"419343";"156439659672";"527879"
"23/05/2022_20:00";"7948997429";"54803161";"319916";"23007679";"134308";"31795481";"185608";"13361600795";"9011452121";"3940846907";"32374918";"60343412";"94329747";"1073799";"390016526";"559790";"5872920";"257154727";"5313161764";"235788497553";"7176919";"721403383";"7379470429";"2034407";"2738863";"14238455195";"4694312";"3830707";"860904436";"1727596082";"809589254";"25538";"518132248";"157865716";"1758763615";"329404";"782058050";"389766996";"331791676";"58695510";"2442299368627";"79941124";"1437992210102";"14996";"1081893451660";"56942";"4295182726171";"148110";"5077999";"194539";"2973270";"16711261";"120905";"43653188";"657574";"3212612";"154252";"12640348207";"1955449";"978341";"419465";"156485286189";"528033"
"23/05/2022_21:00";"7949006707";"54819156";"335911";"23014395";"141024";"31804760";"194887";"14029717834";"9462041896";"4137887222";"32384462";"60361107";"94357072";"1074114";"409516543";"587779";"6166590";"270013119";"5313207601";"247578788988";"7535855";"757477558";"7748529923";"2035001";"2739662";"14242616556";"4695682";"3831825";"860905456";"1727598021";"809592241";"26815";"544040617";"165758845";"1759280124";"329500";"782056987";"409254958";"348380930";"61630227";"2564411910664";"83938101";"1437988213154";"14996";"1081892659472";"56942";"4295181516284";"148110";"5079481";"194596";"2974138";"16716143";"120940";"43653293";"657766";"3213550";"154297";"13272353059";"1956020";"978627";"419588";"156530959751";"528187"
"23/05/2022_22:00";"7949016004";"54835177";"351932";"23021121";"147750";"31814055";"204182";"14698902090";"9913350676";"4335241044";"32394021";"60378829";"94384441";"1074429";"429047527";"615813";"6460729";"282892044";"5313253517";"259387934045";"7895372";"793609547";"8118185192";"2035596";"2740463";"14246784538";"4697054";"3832944";"860906478";"1727599963";"809595233";"28094";"569990401";"173664525";"1759797456";"329596";"782055921";"428773910";"364996564";"64569611";"2686718632018";"87941434";"1437984209324";"14996";"1081891865920";"56942";"4295180304314";"148110";"5080966";"194653";"2975007";"16721033";"120975";"43653398";"657958";"3214489";"154342";"13905362905";"1956592";"978913";"419711";"156576705942";"528341"
"23/05/2022_23:00";"7949025258";"54851129";"367884";"23027818";"154447";"31823310";"213437";"15365220382";"10362725864";"4531748416";"32403540";"60396476";"94411693";"1074743";"448494685";"643726";"6753608";"295715807";"5313299227";"271146523483";"8253355";"829586982";"8486263533";"2036188";"2741260";"14250934644";"4698421";"3834059";"860907496";"1727601897";"809598211";"29367";"595829079";"181536291";"1760312571";"329692";"782054860";"448209127";"381540918";"67496386";"2808500669059";"91927593";"1437980223554";"14996";"1081891075948";"56942";"4295179097811";"148110";"5082444";"194710";"2975872";"16725901";"121011";"43653503";"658149";"3215424";"154387";"14535657198";"1957161";"979198";"419833";"156622255885";"528495"
"24/05/2022_00:00";"7949034542";"54867129";"87";"23034535";"36";"31832595";"51";"3619718";"2441235";"1067580";"32413087";"60414176";"94439025";"1075058";"105655";"152";"1591";"69664";"5313345078";"63876385";"1944";"195433";"1999199";"2036782";"2742060";"14255097146";"4699791";"3835178";"860908517";"1727603837";"809601199";"7";"140365";"42766";"1760829226";"329788";"782053797";"105588";"89883";"15901";"661620408";"21656";"1437976225510";"14996";"1081890283543";"56942";"4295177887592";"148110";"5083927";"194767";"2976740";"16730785";"121046";"43653617";"658341";"3216362";"154432";"3424278";"1957732";"979483";"419955";"156667941865";"528649"
"24/05/2022_01:00";"7949043830";"54883138";"16096";"23041256";"6757";"31841883";"9339";"672257659";"453388249";"198271384";"32422639";"60431886";"94466373";"1075374";"19622316";"28164";"295484";"12938124";"5313390956";"11863197369";"361107";"36296203";"371296479";"2037376";"2742860";"14259262004";"4701163";"3836297";"860909538";"1727605777";"809604189";"1285";"26068688";"7942502";"1761346175";"329884";"782052732";"19609862";"16693022";"2953074";"122876372795";"4021978";"1437972225081";"14996";"1081889490665";"56942";"4295176676652";"148110";"5085410";"194824";"2977609";"16735671";"121081";"43653722";"658533";"3217300";"154477";"635958130";"1958303";"979769";"420078";"156713653656";"528804"
"24/05/2022_02:00";"7949053098";"54899113";"32071";"23047963";"13464";"31851151";"18607";"1339498502";"903392282";"395061906";"32432172";"60449558";"94493664";"1075688";"39098017";"56118";"588763";"25779691";"5313436735";"23637884332";"719525";"72321732";"739828355";"2037969";"2743658";"14263418133";"4702531";"3837414";"860910557";"1727607714";"809607172";"2560";"51942865";"15825674";"1761862041";"329980";"782051670";"39073244";"33261351";"5884090";"244834887160";"8013914";"1437968233334";"14996";"1081888699508";"56942";"4295175468339";"148109";"5086890";"194881";"2978476";"16740547";"121116";"43653826";"658725";"3218237";"154522";"1267165797";"1958873";"980054";"420200";"156759269608";"528957"
"24/05/2022_03:00";"7949062382";"54915115";"48073";"23054681";"20182";"31860435";"27891";"2007863269";"1354153577";"592182677";"32441720";"60467261";"94521000";"1076003";"58606343";"84118";"882538";"38642883";"5313482595";"35432425366";"1078555";"108408136";"1108987242";"2038563";"2744458";"14267581236";"4703902";"3838532";"860911578";"1727609654";"809610160";"3838";"77860657";"23722070";"1762378775";"330077";"782050606";"58569270";"49857470";"8820021";"366997957870";"12012544";"1437964234666";"14996";"1081887906979";"56941";"4295174257931";"148109";"5088373";"194938";"2979344";"16745431";"121152";"43653931";"658917";"3219175";"154567";"1899432166";"1959444";"980340";"420322";"156804962069";"529112"
"24/05/2022_04:00";"7949071655";"54931099";"64057";"23061392";"26893";"31869708";"37164";"2675485302";"1804413213";"789083161";"32451258";"60484943";"94548306";"1076318";"78092811";"112088";"1175986";"51491774";"5313528403";"47213879779";"1437191";"144454628";"1477742130";"2039157";"2745257";"14271739686";"4705271";"3839649";"860912598";"1727611591";"809613145";"5113";"103749678";"31609633";"1762894933";"330173";"782049543";"78043492";"66435027";"11752669";"489024397693";"16006703";"1437960240492";"14996";"1081887115341";"56941";"4295173048884";"148109";"5089854";"194995";"2980211";"16750310";"121187";"43654035";"659109";"3220112";"154612";"2530991388";"1960014";"980625";"420445";"156850603426";"529266"
"24/05/2022_05:00";"7949080933";"54947090";"80048";"23068105";"33606";"31878986";"46442";"3343385969";"2254860026";"986064591";"32460800";"60502633";"94575622";"1076633";"97587232";"140068";"1469557";"64346023";"5313574233";"59000271573";"1795985";"180516356";"1846657157";"2039750";"2746056";"14275899846";"4706641";"3840767";"860913618";"1727613530";"809616131";"6390";"129649534";"39500432";"1763411305";"330269";"782048479";"97525701";"83019384";"14686520";"611100891422";"20002500";"1437956244376";"14996";"1081886323318";"56941";"4295171839249";"148109";"5091336";"195052";"2981078";"16755190";"121222";"43654141";"659300";"3221049";"154657";"3162809669";"1960585";"980911";"420567";"156896263505";"529420"
"24/05/2022_06:00";"7949090209";"54963077";"96035";"23074817";"40318";"31888261";"55717";"4011136311";"2705204716";"1183000455";"32470339";"60520319";"94602932";"1076948";"117077085";"168043";"1763063";"77197374";"5313620054";"70784030910";"2154704";"216570158";"2215495389";"2040344";"2746855";"14280059042";"4708010";"3841885";"860914638";"1727615468";"809619116";"7666";"155543591";"47389398";"1763927558";"330365";"782047416";"117003386";"99599889";"17619690";"733149034836";"23997369";"1437952249178";"14996";"1081885531477";"56941";"4295170629892";"148109";"5092817";"195109";"2981946";"16760070";"121258";"43654245";"659492";"3221986";"154702";"3794481220";"1961155";"981196";"420689";"156941912980";"529574"
"24/05/2022_07:00";"7949099485";"54979067";"112025";"23081530";"47031";"31897538";"64994";"4679015007";"3155635228";"1379972941";"32479881";"60538008";"94630247";"1077262";"136570505";"196022";"2056627";"90051189";"5313665873";"82570075620";"2513499";"252631082";"2584410755";"2040937";"2747654";"14284219011";"4709380";"3843002";"860915658";"1727617406";"809622102";"8943";"181442656";"55279824";"1764443909";"330461";"782046353";"136484676";"116183463";"20553402";"855219763549";"27992977";"1437948254144";"14996";"1081884739668";"56941";"4295169420584";"148109";"5094299";"195166";"2982813";"16764950";"121293";"43654350";"659684";"3222924";"154747";"4426269664";"1961726";"981482";"420812";"156987570902";"529728"
"24/05/2022_08:00";"7949108772";"54995073";"128031";"23088249";"53750";"31906825";"74281";"5347563098";"3606516453";"1577141614";"32489432";"60555714";"94657590";"1077577";"156083282";"224030";"2350485";"102917882";"5313711745";"94367953524";"2872660";"288728340";"2953702122";"2041532";"2748454";"14288383123";"4710751";"3844121";"860916679";"1727619347";"809625091";"10220";"207367710";"63178102";"1764960775";"330557";"782045289";"155985351";"132783539";"23490034";"977411964548";"31992561";"1437944254559";"14996";"1081883946958";"56941";"4295168209899";"148109";"5095782";"195223";"2983682";"16769836";"121328";"43654455";"659876";"3223862";"154792";"5058686798";"1962297";"981767";"420934";"157033274259";"529882"
"24/05/2022_09:00";"7949118059";"55011081";"144039";"23094970";"60471";"31916112";"83568";"6016228795";"4057476250";"1774343737";"32498984";"60573424";"94684936";"1077893";"175599311";"252042";"2644395";"115786833";"5313757625";"106167927180";"3231891";"324832139";"3323064705";"2042126";"2749254";"14292547941";"4712122";"3845240";"860917701";"1727621287";"809628080";"11498";"233297355";"71077713";"1765477731";"330653";"782044224";"175489317";"149386416";"26427161";"1099624783959";"35992820";"1437940254239";"14996";"1081883154101";"56941";"4295166998991";"148109";"5097265";"195280";"2984550";"16774722";"121363";"43654560";"660068";"3224800";"154837";"5691210645";"1962868";"982053";"421057";"157078985327";"530036"
"24/05/2022_10:00";"7949127321";"55027045";"160003";"23101672";"67173";"31925374";"92830";"6683017307";"4507169302";"1970991013";"32508510";"60591084";"94712206";"1078207";"195060373";"279975";"2937481";"128619651";"5313803374";"117934794382";"3590120";"360834773";"3691396581";"2042718";"2750052";"14296701041";"4713489";"3846356";"860918719";"1727623223";"809631061";"12773";"259154237";"78955090";"1765993233";"330749";"782043163";"194938389";"165942564";"29356021";"1221493635364";"39981820";"1437936265418";"14996";"1081882363524";"56941";"4295165791564";"148109";"5098744";"195337";"2985416";"16779594";"121399";"43654664";"660260";"3225736";"154882";"6321954254";"1963438";"982338";"421179";"157124567742";"530190"
"24/05/2022_11:00";"7949136601";"55043041";"175999";"23108388";"73889";"31934654";"102110";"7351182145";"4957789829";"2168042959";"32518056";"60608781";"94739531";"1078522";"214561424";"307966";"3231172";"141478951";"5313849219";"129725970031";"3949095";"396911911";"4060494972";"2043312";"2750851";"14300862686";"4714859";"3847474";"860919740";"1727625162";"809634048";"14050";"285064521";"86848671";"1766509798";"330846";"782042099";"214427467";"182532768";"32290906";"1343613163245";"43979026";"1437932268236";"14996";"1081881571290";"56941";"4295164581607";"148109";"5100226";"195394";"2986284";"16784476";"121434";"43654769";"660452";"3226674";"154927";"6953995262";"1964008";"982624";"421302";"157170243917";"530344"
"24/05/2022_12:00";"7949145874";"55059023";"191981";"23115097";"80598";"31943927";"111383";"8018739095";"5407999646";"2364914399";"32527592";"60626461";"94766831";"1078837";"234044554";"335931";"3524598";"154326547";"5313895024";"141506438528";"4307751";"432956418";"4429263797";"2043906";"2751650";"14305020518";"4716228";"3848591";"860920759";"1727627099";"809637033";"15325";"310951263";"94735013";"1767025891";"330942";"782041036";"233898674";"199107758";"35223100";"1465620714161";"47972566";"1437928274661";"14996";"1081880779771";"56941";"4295163372741";"148109";"5101707";"195451";"2987151";"16789354";"121469";"43654873";"660644";"3227611";"154972";"7585456723";"1964579";"982909";"421424";"157215878209";"530498"
"24/05/2022_13:00";"7949155167";"55075041";"207999";"23121822";"87323";"31953220";"120676";"8687827890";"5859241819";"2562236366";"32537151";"60644181";"94794194";"1079152";"253572212";"363960";"3818697";"167203619";"5313940937";"153313960100";"4667236";"469083828";"4798885091";"2044500";"2752450";"14309187865";"4717601";"3849711";"860921781";"1727629041";"809640024";"16604";"336897437";"102639396";"1767543166";"331038";"782039971";"253414421";"215720665";"38162002";"1587907359693";"51975242";"1437924271654";"14996";"1081879986382";"56941";"4295162161020";"148109";"5103192";"195508";"2988020";"16794243";"121505";"43654978";"660836";"3228550";"155018";"8218362665";"1965150";"983195";"421546";"157261616891";"530653"
"24/05/2022_14:00";"7949164445";"55091032";"223990";"23128535";"94036";"31962498";"129954";"9355780169";"6309716769";"2759221928";"32546694";"60661872";"94821510";"1079467";"273066520";"391941";"4112297";"180058813";"5313986766";"165101445733";"5026117";"505150063";"5167884791";"2045094";"2753249";"14313348107";"4718970";"3850829";"860922802";"1727630980";"809643010";"17880";"362799571";"110530296";"1768059561";"331134";"782038908";"272896880";"232305234";"41095890";"1709985413368";"55971090";"1437920275941";"14996";"1081879194439";"56941";"4295160951507";"148109";"5104673";"195565";"2988888";"16799124";"121540";"43655083";"661028";"3229487";"155063";"8850189019";"1965721";"983481";"421669";"157307277553";"530807"
"24/05/2022_15:00";"7949173711";"55107004";"239962";"23135241";"100742";"31971764";"139220";"10022952723";"6759665124";"2955976312";"32556225";"60679542";"94848794";"1079781";"292537892";"419890";"4405555";"192898995";"5314032543";"176875191697";"5384587";"541174387";"5536459972";"2045687";"2754048";"14317503465";"4720338";"3851945";"860923821";"1727632916";"809645992";"19156";"388671498";"118411928";"1768575351";"331230";"782037846";"292356456";"248870324";"44026333";"1831920087694";"59962244";"1437916284906";"14995";"1081878403423";"56941";"4295159743410";"148109";"5106153";"195622";"2989754";"16803999";"121575";"43655188";"661219";"3230423";"155107";"9481273301";"1966291";"983766";"421791";"157352884587";"530961"
"24/05/2022_16:00";"7949182984";"55122987";"255945";"23141951";"107452";"31981037";"148493";"10690568883";"7209911911";"3152860288";"32565762";"60697223";"94876095";"1080096";"312022031";"447857";"4699008";"205747709";"5314078351";"188656786394";"5743301";"577222855";"5905286452";"2046280";"2754846";"14321661561";"4721707";"3853062";"860924840";"1727634853";"809648977";"20431";"414560658";"126298744";"1769091482";"331326";"782036783";"311828832";"265446310";"46958703";"1953934963572";"63956024";"1437912291139";"14995";"1081877611865";"56941";"4295158534485";"148109";"5107634";"195679";"2990622";"16808877";"121610";"43655293";"661411";"3231360";"155152";"10112772673";"1966861";"984051";"421913";"157398521619";"531115"
"24/05/2022_17:00";"7949192265";"55138983";"271941";"23148666";"114167";"31990318";"157774";"11358734795";"7660528715";"3349905158";"32575308";"60714919";"94903419";"1080411";"331522034";"475847";"4992704";"218606998";"5314124197";"200448103063";"6102317";"613301199";"6274422886";"2046874";"2755646";"14325823053";"4723078";"3854180";"860925861";"1727636792";"809651964";"21708";"440471168";"134191998";"1769608036";"331422";"782035719";"331317104";"282035827";"49893466";"2076049438586";"67953064";"1437908294083";"14995";"1081876819656";"56941";"4295157324566";"148109";"5109116";"195736";"2991489";"16813760";"121646";"43655397";"661603";"3232298";"155197";"10744787529";"1967432";"984337";"422036";"157444195904";"531269"
"24/05/2022_19:00";"7949210824";"55170971";"303929";"23162095";"127596";"32008877";"176333";"12694924006";"8561663919";"3743949143";"32594397";"60750307";"94958059";"1081041";"370517338";"531820";"5580036";"244322815";"5314215879";"224028280663";"6820293";"685450759";"7012635692";"2048061";"2757244";"14334145070";"4725818";"3856416";"860927902";"1727640670";"809657937";"24262";"492286748";"149976651";"1770641029";"331615";"782033592";"370289067";"315210963";"55762304";"2320249699179";"75946206";"1437900300944";"14995";"1081875235430";"56941";"4295154905021";"148109";"5112080";"195850";"2993225";"16823523";"121716";"43655607";"661987";"3234173";"155288";"12008668758";"1968573";"984908";"422281";"157535533743";"531577"
"24/05/2022_21:00";"7949229379";"55202953";"335911";"23175522";"141023";"32027432";"194888";"14030897263";"9462650518";"4137924514";"32613482";"60785689";"95012690";"1081671";"409505621";"587783";"6167275";"270034454";"5314307547";"247604728610";"7538180";"757589424";"7750754153";"2049249";"2758843";"14342465636";"4728557";"3858652";"860929942";"1727644547";"809663909";"26815";"544094077";"165758527";"1771673848";"331807";"782031466";"409254174";"348380262";"61630109";"2564406993445";"83937940";"1437892309253";"14995";"1081873651492";"56941";"4295152485914";"148109";"5115044";"195964";"2994960";"16833284";"121787";"43655816";"662371";"3236048";"155378";"13272327610";"1969714";"985479";"422525";"157626855512";"531885"
